Niveau;Matière;Chapitre;Titre chapitre;Leçon;Titre leçon;Questions générées;Définitions sources;Quiz flash validés;Q/R notes
1A;GO;Ch.1;Comprendre la GO et l’épreuve E7/U7;1.3;Adopter la méthode données → calcul → interprétation → décision;10;4;0;7
1A;GO;Ch.2;Cadre légal, documents commerciaux, facture, TVA et délais;2.1;Comprendre le cadre légal et les documents commerciaux;10;4;0;5
1A;GO;Ch.2;Cadre légal, documents commerciaux, facture, TVA et délais;2.2;Maîtriser facture, HT, TVA et TTC;10;6;0;9
1A;GO;Ch.2;Cadre légal, documents commerciaux, facture, TVA et délais;2.3;Contrôler délais, calculs et conformité d’une facture;10;9;0;7
1A;GO;Ch.3;Cycle d’exploitation, flux physiques/financiers et BFR;3.1;Comprendre le cycle d’exploitation;10;4;0;5
1A;GO;Ch.3;Cycle d’exploitation, flux physiques/financiers et BFR;3.2;Relier flux physiques et flux financiers;10;5;0;9
1A;GO;Ch.3;Cycle d’exploitation, flux physiques/financiers et BFR;3.3;Calculer et interpréter le BFR;10;4;0;7
1A;GO;Ch.4;Règlements, trésorerie et impayés;4.1;Maîtriser les moyens de règlement;10;2;0;5
1A;GO;Ch.4;Règlements, trésorerie et impayés;4.2;Suivre la trésorerie au quotidien;10;5;0;8
1A;GO;Ch.4;Règlements, trésorerie et impayés;4.3;Prévenir et traiter les impayés;10;3;0;7
1A;GO;Ch.5;Stocks et approvisionnements : enjeux et indicateurs;5.1;Comprendre le rôle et le coût du stock;10;4;0;5
1A;GO;Ch.5;Stocks et approvisionnements : enjeux et indicateurs;5.2;Calculer rotation, couverture et niveaux de stock;10;4;0;8
1A;GO;Ch.5;Stocks et approvisionnements : enjeux et indicateurs;5.3;Décider des approvisionnements et limiter les ruptures;10;6;0;7
1A;GO;Ch.6;Inventaire et valorisation des stocks;6.1;Préparer et réaliser un inventaire;10;3;0;5
1A;GO;Ch.6;Inventaire et valorisation des stocks;6.2;Valoriser les stocks;10;3;0;8
1A;GO;Ch.6;Inventaire et valorisation des stocks;6.3;Analyser les écarts d’inventaire;10;5;0;7
1A;GO;Ch.7;Prix, coûts d’achat, marge, taux et coefficients;7.1;Passer du prix d’achat au coût d’achat;10;5;0;5
1A;GO;Ch.7;Prix, coûts d’achat, marge, taux et coefficients;7.2;Calculer marge, taux et coefficients;10;7;0;8
1A;GO;Ch.7;Prix, coûts d’achat, marge, taux et coefficients;7.3;Fixer et justifier un prix de vente;10;8;0;7
1A;GO;Ch.8;Coûts, charges fixes/variables et seuil de rentabilité;8.1;Distinguer charges fixes et variables;10;3;0;5
1A;GO;Ch.8;Coûts, charges fixes/variables et seuil de rentabilité;8.2;Calculer la marge sur coût variable;10;9;0;9
1A;GO;Ch.8;Coûts, charges fixes/variables et seuil de rentabilité;8.3;Déterminer seuil de rentabilité et point mort;10;6;0;7
1A;GO;Ch.9;Compte de résultat et rentabilité de l’exploitation;9.1;Lire la structure du compte de résultat;10;4;0;5
1A;GO;Ch.9;Compte de résultat et rentabilité de l’exploitation;9.2;Calculer le résultat de l’exploitation;10;3;0;8
1A;GO;Ch.9;Compte de résultat et rentabilité de l’exploitation;9.3;Analyser la rentabilité et proposer une décision;10;6;0;7
1A;GO;Ch.10;Bilan, équilibre financier, FRNG, BFR et trésorerie;10.1;Lire la structure du bilan;10;6;0;5
1A;GO;Ch.10;Bilan, équilibre financier, FRNG, BFR et trésorerie;10.2;Calculer FRNG, BFR et trésorerie nette;10;9;0;8
1A;GO;Ch.10;Bilan, équilibre financier, FRNG, BFR et trésorerie;10.3;Diagnostiquer l’équilibre financier;10;8;0;7
1A;GO;Ch.11;Risques courants, incidents et prévention;11.1;Identifier les risques courants;10;2;0;5
1A;GO;Ch.11;Risques courants, incidents et prévention;11.2;Prévenir les incidents;10;3;0;8
1A;GO;Ch.11;Risques courants, incidents et prévention;11.3;Traiter, tracer et sécuriser les suites d’un incident;10;6;0;7
1A;GO;Ch.12;Tableau de bord, reporting et système d’information commercial;12.1;Construire un tableau de bord utile;10;5;0;5
1A;GO;Ch.12;Tableau de bord, reporting et système d’information commercial;12.2;Organiser reporting et système d’information commercial;10;6;0;8
1A;GO;Ch.12;Tableau de bord, reporting et système d’information commercial;12.3;Décider à partir des KPI;10;9;0;8
2A;GO;Ch.1;Réactivation GO et stratégie de copie E7/U7;1.1;Réactiver les automatismes de GO;10;1;0;6
2A;GO;Ch.1;Réactivation GO et stratégie de copie E7/U7;1.2;Construire une stratégie de copie E7;10;2;0;7
2A;GO;Ch.1;Réactivation GO et stratégie de copie E7/U7;1.3;Gérer temps, calculs et conclusions professionnelles;10;3;0;7
2A;GO;Ch.2;Stocks avancés : coût de commande, possession, rotation et rentabilité;2.1;Calculer les coûts de commande et de possession;10;4;0;5
2A;GO;Ch.2;Stocks avancés : coût de commande, possession, rotation et rentabilité;2.2;Optimiser rotation et niveau de stock;10;6;0;8
2A;GO;Ch.2;Stocks avancés : coût de commande, possession, rotation et rentabilité;2.3;Arbitrer rentabilité, service et risque de rupture;10;5;0;7
2A;GO;Ch.3;BFR, délais de paiement, banques et financement de l’exploitation;3.1;Analyser BFR et délais de paiement;10;3;0;5
2A;GO;Ch.3;BFR, délais de paiement, banques et financement de l’exploitation;3.2;Comprendre banques et financements court terme;10;3;0;8
2A;GO;Ch.3;BFR, délais de paiement, banques et financement de l’exploitation;3.3;Choisir un financement de l’exploitation;10;5;0;7
2A;GO;Ch.4;Compte de résultat avancé, SIG et rentabilité opérationnelle;4.1;Approfondir le compte de résultat;10;8;0;5
2A;GO;Ch.4;Compte de résultat avancé, SIG et rentabilité opérationnelle;4.2;Calculer et lire les SIG;10;6;0;8
2A;GO;Ch.4;Compte de résultat avancé, SIG et rentabilité opérationnelle;4.3;Analyser la rentabilité opérationnelle;10;6;0;7
2A;GO;Ch.5;Bilan fonctionnel, ratios, amortissements et provisions;5.1;Construire le bilan fonctionnel;10;5;0;5
2A;GO;Ch.5;Bilan fonctionnel, ratios, amortissements et provisions;5.2;Calculer et interpréter les ratios;10;8;0;8
2A;GO;Ch.5;Bilan fonctionnel, ratios, amortissements et provisions;5.3;Intégrer amortissements et provisions dans le diagnostic;10;5;0;7
2A;GO;Ch.6;Fixation des prix avancée : contraintes, modulation et promotions;6.1;Identifier les contraintes de fixation du prix;10;4;0;5
2A;GO;Ch.6;Fixation des prix avancée : contraintes, modulation et promotions;6.2;Maîtriser modulation et promotions;10;4;0;8
2A;GO;Ch.6;Fixation des prix avancée : contraintes, modulation et promotions;6.3;Arbitrer marge, volume et positionnement;10;2;0;7
2A;GO;Ch.7;Prévisions des ventes : tendance, saisonnalité et limites;7.1;Choisir une méthode de prévision;10;3;0;5
2A;GO;Ch.7;Prévisions des ventes : tendance, saisonnalité et limites;7.2;Analyser tendance et saisonnalité;10;3;0;8
2A;GO;Ch.7;Prévisions des ventes : tendance, saisonnalité et limites;7.3;Mesurer les limites et la fiabilité d’une prévision;10;3;0;7
2A;GO;Ch.8;Objectifs commerciaux, budgets et analyse des écarts;8.1;Fixer des objectifs commerciaux;10;3;0;5
2A;GO;Ch.8;Objectifs commerciaux, budgets et analyse des écarts;8.2;Construire et lire un budget;10;3;0;8
2A;GO;Ch.8;Objectifs commerciaux, budgets et analyse des écarts;8.3;Analyser les écarts et décider des actions correctives;10;4;0;7
2A;GO;Ch.9;Budget de trésorerie : encaissements, décaissements, soldes;9.1;Prévoir les encaissements;10;2;0;5
2A;GO;Ch.9;Budget de trésorerie : encaissements, décaissements, soldes;9.2;Prévoir les décaissements;10;3;0;8
2A;GO;Ch.9;Budget de trésorerie : encaissements, décaissements, soldes;9.3;Calculer le solde de trésorerie et décider;10;5;0;7
2A;GO;Ch.10;Investissement : emprunt, amortissement financier et choix de financement;10.1;Comparer les solutions de financement;10;5;0;5
2A;GO;Ch.10;Investissement : emprunt, amortissement financier et choix de financement;10.2;Maîtriser emprunt et amortissement financier;10;6;0;8
2A;GO;Ch.10;Investissement : emprunt, amortissement financier et choix de financement;10.3;Choisir le financement d’un investissement;10;9;0;7
2A;GO;Ch.11;VAN, flux nets, actualisation et délai de récupération;11.1;Construire les flux nets d’un investissement;10;5;0;5
2A;GO;Ch.11;VAN, flux nets, actualisation et délai de récupération;11.2;Actualiser les flux et calculer la VAN;10;5;0;8
2A;GO;Ch.11;VAN, flux nets, actualisation et délai de récupération;11.3;Utiliser VAN et délai de récupération pour décider;10;4;0;7
2A;GO;Ch.12;Risques, assurances, prévention et traitement légal des incidents;12.1;Identifier risques et assurances;10;3;0;5
2A;GO;Ch.12;Risques, assurances, prévention et traitement légal des incidents;12.2;Prévenir les incidents;10;5;0;8
2A;GO;Ch.12;Risques, assurances, prévention et traitement légal des incidents;12.3;Traiter légalement les incidents et leurs conséquences;10;6;0;7
2A;GO;Ch.13;SIC, tableau de bord, reporting et décisions correctrices;13.1;Organiser la collecte des données avec le SIC;10;5;0;5
2A;GO;Ch.13;SIC, tableau de bord, reporting et décisions correctrices;13.2;Construire tableau de bord et reporting;10;5;0;8
2A;GO;Ch.13;SIC, tableau de bord, reporting et décisions correctrices;13.3;Prendre des décisions correctrices à partir des indicateurs;10;5;0;7
2A;GO;Ch.14;Bootcamp E7 : cas de 3 heures et remédiation;14.1;Décoder efficacement un sujet E7 de 3 heures;10;1;0;5
2A;GO;Ch.14;Bootcamp E7 : cas de 3 heures et remédiation;14.2;Gérer le temps et rédiger une copie rentable en points;10;3;0;8
2A;GO;Ch.14;Bootcamp E7 : cas de 3 heures et remédiation;14.3;Corriger les erreurs et organiser la remédiation;10;4;0;8
